ADM1_EN,Shp_Lng,Shap_Ar,ADM1_PC,ADM1_RE,ADM1ALT1,ADM1ALT2,ADM0_EN,ADM0_PC,date,validOn,validTo,Popultn,L_A.K2.,Ppltn_D,Ml_Pplt,Fml_Ppl,Intrsx_,Nmbr__H,Avrg_H_
Baringo,5.932315409,0.88473226,KE030,,,,Kenya,KE,03-11-17,31-10-19,,666763,10976.4,61,336322,330428,13,142518,4.7
Bomet,2.922220294,0.198098946,KE036,,,,Kenya,KE,03-11-17,31-10-19,,875689,2530.9,346,434287,441379,23,187641,4.7
Bungoma,3.06248561,0.245058096,KE039,,,,Kenya,KE,03-11-17,31-10-19,,1670570,3023.9,552,812146,858389,35,358796,4.6
Busia,2.670395722,0.147177863,KE040,,,,Kenya,KE,03-11-17,31-10-19,,893681,1696.3,527,426252,467401,28,198152,4.5
Elgeyo-Marakwet,3.888932912,0.24443179,KE028,,,,Kenya,KE,03-11-17,31-10-19,,454480,3032,150,227317,227151,12,99861,4.5
Embu,3.386652849,0.229413549,KE014,,,,Kenya,KE,03-11-17,31-10-19,,608599,2820.7,216,304208,304367,24,182743,3.3
Garissa,10.49092173,3.54218783,KE007,,,,Kenya,KE,03-11-17,31-10-19,,841353,44736,19,458975,382344,34,141394,5.9
Homa Bay,3.373780727,0.384444299,KE043,,,,Kenya,KE,03-11-17,31-10-19,,1131950,3152.5,359,539560,592367,23,262036,4.3
Isiolo,10.21975383,2.063850265,KE011,,,,Kenya,KE,03-11-17,31-10-19,,268002,25350.6,11,139510,128483,9,58072,4.6
Kajiado,7.412834689,1.779182997,KE034,,,,Kenya,KE,03-11-17,31-10-19,,1117840,21871.1,51,557098,560704,38,316179,3.5
Kakamega,4.125303923,0.24438141,KE037,,,,Kenya,KE,03-11-17,31-10-19,,1867579,3020,618,897133,970406,40,433207,4.3
Kericho,3.541334271,0.204178727,KE035,,,,Kenya,KE,03-11-17,31-10-19,,901777,2436.1,370,450741,451008,28,206036,4.4
Kiambu,3.193174926,0.206628525,KE022,,,,Kenya,KE,03-11-17,31-10-19,,2417735,2538.6,952,1187146,1230454,135,795241,3
Kilifi,5.744542702,1.025127241,KE003,,,,Kenya,KE,03-11-17,31-10-19,,1453787,12539.7,116,704089,749673,25,298472,4.8
Kirinyaga,1.947361985,0.119858401,KE020,,,,Kenya,KE,03-11-17,31-10-19,,610411,1478.3,413,302011,308369,31,204188,3
Kisii,1.69235198,0.106738605,KE045,,,,Kenya,KE,03-11-17,31-10-19,,1266860,1323,958,605784,661038,38,308054,4.1
Kisumu,3.076285565,0.216511079,KE042,,,,Kenya,KE,03-11-17,31-10-19,,1155574,2085.4,554,560942,594609,23,300745,3.8
Kitui,9.074169285,2.475337547,KE015,,,,Kenya,KE,03-11-17,31-10-19,,1136187,30429.5,37,549003,587151,33,262942,4.3
Kwale,5.426097346,0.673255439,KE002,,,,Kenya,KE,03-11-17,31-10-19,,866820,8267.1,105,425121,441681,18,173176,5
Laikipia,5.381673899,0.774806915,KE031,,,,Kenya,KE,03-11-17,31-10-19,,518560,9532.2,54,259440,259102,18,149271,3.4
Lamu,7.980883498,0.491573345,KE005,,,,Kenya,KE,03-11-17,31-10-19,,143920,6253.3,23,76103,67813,4,37963,3.7
Machakos,6.081984064,0.491163705,KE016,,,,Kenya,KE,03-11-17,31-10-19,,1421932,6042.7,235,710707,711191,34,402466,3.5
Makueni,5.983773542,0.664602756,KE017,,,,Kenya,KE,03-11-17,31-10-19,,987653,8169.8,121,489691,497942,20,244669,4
Mandera,7.282121317,2.11434546,KE009,,,,Kenya,KE,03-11-17,31-10-19,,867457,25939.8,33,434976,432444,37,125763,6.9
Marsabit,11.99536214,6.185189867,KE010,,,,Kenya,KE,03-11-17,31-10-19,,459785,70944.1,6,243548,216219,18,77495,5.8
Meru,4.400598848,0.568086227,KE012,,,,Kenya,KE,03-11-17,31-10-19,,1545714,7006.3,221,767698,777975,41,426360,3.6
Migori,2.984960424,0.255483391,KE044,,,,Kenya,KE,03-11-17,31-10-19,,1116436,2613.5,427,536187,580214,35,240168,4.6
Mombasa,1.820903554,0.019024039,KE001,,,,Kenya,KE,03-11-17,31-10-19,,1208333,219.9,5495,610257,598046,30,378422,3.1
Murang'a,2.632396519,0.205193766,KE021,Muranga,,,Kenya,KE,03-11-17,31-10-19,,1056640,2524.2,419,523940,532669,31,318105,3.3
Nairobi,1.658061058,0.057495597,KE047,,,,Kenya,KE,03-11-17,31-10-19,,4397073,703.9,6247,2192452,2204376,245,1506888,2.9
Nandi,3.150415876,0.230384085,KE029,,,,Kenya,KE,03-11-17,31-10-19,,885711,2855.8,310,441259,444430,22,199426,4.4
